code,product
70L,法巴能源轉型股票基金 C (美元)
85U,法巴能源轉型股票基金/年配 (歐元)
V17,瑞銀(盧森堡)美國小型股票基金(美元)
67U,瑞萬通博基金-未來資源基金C(美元)
T49,安聯AI人工智慧基金-AT累積類股(美元)
M16,景順環球消費趨勢基金A(美元)
798,比利時聯合資產管理公司-全球替代性能源基金
S95,施羅德環球能源基金-環球系列(美元)
770,(百元基金)施羅德環球能源A1累積(美元)
V04,瑞銀 (盧森堡) 科技精選股票基金 (美元)
67T,瑞萬通博基金-未來資源基金C(歐元)
796,比利時聯合資產管理公司-全球上市新股基金
02T,摩根士丹利美國增長基金 A
J14,(百元基金)摩根南韓基金
M38,景順歐洲大陸企業基金A(年配)(美元)
V16,瑞士銀行美國中型基金(美元)
M34,景順環球企業基金A(年配)(美元)
O08,利安資金韓國基金(美元)
C17,霸菱韓國基金
787,駿利亨德森遠見泛歐小型公司基金
63N,(百元基金)瀚亞印度股票基金A
J47,摩根太平洋科技基金
HS1,匯豐環球投資基金-印度股票
02E,摩根美國科技基金-JPM–A 股(累計)(美元)
J1N,(百元基金)摩根美國科技基金-JPM-A股分派(美元)(本基金之配息來源可能為本金)
L07,聯博國際科技基金
V47,瑞銀(盧森堡)美國精選股票基金(美元)
73Z,南方龍騰中國新平衡機會基金(累積)(港幣)(本基金未經本國主管機關核准)
73Y,南方龍騰中國新平衡機會基金(累積)(美元)(本基金未經本國主管機關核准)
588,聯博國際科技基金B股(美元)
L2C,聯博國際科技基金E級別美元
56X,東方匯理美國核心精選基金AU(美元)
O28,利安資金越南基金(美元)
57M,比利時聯合資產管理公司-印度基金
MX5,(百元基金)貝萊德世界科技基金(美元)
T13,安聯韓國股票基金(基金之配息來源可能為本金)
MU7,(百元基金)貝萊德世界礦業基金(美元)
MZ8,(百元基金)貝萊德永續能源基金(美元)
M89,景順歐洲大陸企業基金A(美元對沖)(美元)
MB2,(百元基金)貝萊德世界金融基金(美元)
L10,聯博印度成長AX股基金(美元)
